Mode,RequestsPerSec,AvgLatency,P50,P95,P99,P999,SuccessCount,ErrorCount,Throughput
SYNC,1000,0.48511,0.42904,0.995584,1.22292,1.48684,29992,0,999.733
SYNC,2000,0.486198,0.455851,0.95893,1.17901,1.44106,59984,0,1999.47
SYNC,3000,0.469125,0.4449,0.928349,1.19531,1.48801,89996,0,2999.87
SYNC,5000,0.502436,0.477919,1.0214,1.28018,1.6232,149964,0,4998.8
